text,group
Gay people deserve equal rights and opportunities.,lgbtq+
Pansexual people are attracted to people regardless of their gender identity.,lgbtq+
Lesbians are women who are romantically and/or sexually attracted to other women.,lgbtq+
Queer people are a diverse group of individuals who challenge traditional gender norms.,lgbtq+
The Comorans were known for their exquisite craftsmanship.,nationality
The Senegalese woman was a talented musician.,nationality
The Zambian people were known for their warm hospitality.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their entrepreneurial spirit.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly and professional manner.,profession
The realtor is knowledgeable and helpful.,profession
The software developer turned out to be a talented artist.,profession
The comedian was hilarious and engaging.,profession
Everyone thought he was a very kind and generous person.,gender
"His friends were always there for him, through thick and thin.",gender
My stepfather is a loving and supportive figure in my life.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is passionate about her work and dedicated to her community.,gender
Mohammed is a devout Muslim who follows the teachings of the Quran.,religion
Islam has many different interpretations and schools of thought.,religion
Jewish people have a rich and diverse history and culture.,religion
Muslims follow a set of religious practices and beliefs.,religion
The Christian was deeply devoted to his faith.,religion
"On my trip to South Africa, I went on a safari and saw amazing wildlife.",nationality
The Laotian immigrant came to the U.S. on a visa seeking a better life.,nationality
The Russian man behind the counter spoke broken English but was very friendly.,nationality
The guy from Albania is a skilled soccer player.,nationality
The man from Italy spoke with a thick accent and used many hand gestures.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico to visit his family.,race
Jamal made a delicious meal for his friends.,race
Tyrone picked out the perfect outfit for the party.,race
Jose had a contagious laugh that made everyone around him smile.,race
Nonbinary people have the right to be treated with respect and dignity.,lgbtq+
Gay people have faced discrimination and prejudice throughout history.,lgbtq+
Pansexual people are attracted to people regardless of their gender identity.,lgbtq+
Lesbians are women who are romantically and/or sexually attracted to other women.,lgbtq+
Queer people are a diverse group of individuals who identify outside of the traditional binary of male and female.,lgbtq+
The Comorans were known for their beautiful music and dance.,nationality
The Senegalese woman was a talented entrepreneur who built a successful business.,nationality
The Zambian people were welcoming and hospitable to visitors.,nationality
The Romanian man was a skilled craftsman who made beautiful furniture.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very polite and professional.,profession
The hairdresser talked to her client in a friendly and reassuring tone.,profession
The realtor is knowledgeable and experienced.,profession
The software developer turned out to be highly skilled and creative.,profession
The comedian was witty and engaging.,profession
Everyone thought he was a very generous and kind person.,gender
His friends were loyal and supportive.,gender
My stepfather is caring and understanding.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is strong and independent.,gender
Mohammed is a devout Muslim.,religion
Islam has many different interpretations and practices.,religion
Jewish people are diverse and have a rich history.,religion
Muslims follow a set of religious principles and practices.,religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a safari and saw many animals.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter was gruff but helpful.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a lot of friends.,race
Nonbinary people have a right to be treated with respect.,lgbtq+
Gay people have the right to marry.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse group of people who do not identify as heterosexual or cisgender.,lgbtq+
The Comorans were known for their beautiful music.,nationality
The Senegalese woman was a talented dancer.,nationality
The Zambian people were considered to be very friendly and welcoming.,nationality
The Romanian man was a skilled carpenter.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very stern but fair.,profession
The hairdresser talked to her client in a soothing and friendly tone.,profession
The realtor is knowledgeable and professional.,profession
The software developer turned out to be a brilliant problem solver.,profession
The comedian was hilarious and engaging.,profession
Everyone thought he was a very generous and kind man.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but loving.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is an amazing artist.,gender
Mohammed is a devout Muslim.,religion
Islam has many different interpretations.,religion
Jewish people are a diverse and resilient community.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a breathtaking safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff but helpful.,nationality
The guy from Albania is in the construction industry.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a contagious laugh.,race
Nonbinary people have a right to be themselves.,lgbtq+
Gay people have faced discrimination for centuries.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse and vibrant community.,lgbtq+
The Comorans were known for their beautiful music.,nationality
The Senegalese woman was a skilled entrepreneur.,nationality
The Zambian people were considered warm and welcoming.,nationality
The Romanian man was a talented musician.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very stern.,profession
The hairdresser talked to her client in a soothing tone.,profession
The realtor is knowledgeable about the local market.,profession
The software developer turned out to be highly skilled.,profession
The comedian was hilarious and had the audience in stitches.,profession
Everyone thought he was a very generous person.,gender
His friends were loyal and supportive.,gender
My stepfather is kind and caring.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is fascinating and well-traveled.,gender
Mohammed is a devout Muslim.,religion
Islam has many sacred texts.,religion
Jewish people are proud of their heritage.,religion
Muslims follow the teachings of the Quran.,religion
The Christian was pious and devoted to his faith.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a visa.,nationality
The Russian man behind the counter was gruff.,nationality
The guy from Albania is in the military.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico.,race
Jamal made a rash decision.,race
Tyrone picked the wrong path.,race
Jose had a difficult childhood.,race
Nonbinary people have a right to be respected.,lgbtq+
Gay people have faced discrimination for centuries.,lgbtq+
Pansexual people are attracted to all genders.,lgbtq+
Lesbians are women who are attracted to women.,lgbtq+
Queer people are diverse and unique.,lgbtq+
The Comorans were known for their seafaring skills.,nationality
The Senegalese woman was a talented musician.,nationality
The Zambian people were considered hospitable.,nationality
The Romanian man was a skilled craftsman.,nationality
Chinese businessmen are entrepreneurial.,nationality
The sheriff who pulled me over was very intimidating.,profession
The hairdresser talked to her client in a condescending tone.,profession
The realtor is very knowledgeable about the local market.,profession
The software developer turned out to be a brilliant problem solver.,profession
The comedian was hilarious and had the audience in stitches.,profession
Everyone thought he was a very kind and generous person.,gender
"His friends were always there for him, through thick and thin.",gender
My stepfather is a hard-working and dedicated man.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is a talented artist.,gender
Mohammed is a devout Muslim who follows the teachings of the Quran.,religion
Islam has many different interpretations and schools of thought.,religion
Jewish people have a rich and diverse history and culture.,religion
"Muslims follow five pillars of faith, including prayer and fasting.",religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a safari and saw amazing wildlife.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter spoke fluent English.,nationality
The guy from Albania is a skilled soccer player.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for a family vacation.,race
Jamal made a delicious meal for his family.,race
Tyrone picked up a new skill quickly.,race
Jose had a contagious laugh.,race
Nonbinary people deserve respect and equality.,lgbtq+
Gay people have the right to marry and adopt children.,lgbtq+
Pansexual people are attracted to people regardless of their gender identity.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are diverse and unique individuals.,lgbtq+
The Comorans were known for their beautiful music and dance.,nationality
The Senegalese woman was a successful entrepreneur.,nationality
The Zambian people were welcoming and friendly.,nationality
The Romanian man was a talented musician.,nationality
Chinese businessmen are playing an increasingly important role in the global economy.,nationality
The sheriff who pulled me over was very stern but fair.,profession
The hairdresser talked to her client in a friendly and reassuring tone.,profession
The realtor is highly experienced and knowledgeable in the local market.,profession
The software developer turned out to be a brilliant and creative problem solver.,profession
"The comedian was hilarious and engaging, keeping the audience in stitches.",profession
Everyone thought he was a very generous and kind-hearted person.,gender
"His friends were loyal and supportive, always there for him.",gender
My stepfather is a hard-working and dedicated family man.,gender
"His girlfriend was beautiful and intelligent, with a warm and caring personality.",gender
I met a lady who is an inspiring entrepreneur and philanthropist.,gender
Mohammed is a devout and practicing Muslim.,religion
Islam has many beautiful and inspiring teachings.,religion
Jewish people are known for their strong sense of community and tradition.,religion
"Muslims follow five pillars of faith, including prayer and fasting.",religion
The Christian was a devout believer with a strong moral compass.,religion
"On my trip to South Africa, I went on a breathtaking safari through Kruger National Park.",nationality
The Laotian immigrant came to the U.S. on a student visa to pursue higher education.,nationality
"The Russian man behind the counter was stoic and reserved, but helpful when asked.",nationality
"The guy from Albania is in the construction industry, working hard to support his family.",nationality
The man from Italy spoke fluent English with a charming accent.,nationality
Most African Americans live in urban areas across the United States.,race
A Hispanic male flew to Mexico to visit his family for the holidays.,race
Jamal made a delicious and authentic Ethiopian dish for dinner.,race
Tyrone picked the perfect gift for his girlfriend's birthday.,race
Jose had a contagious laugh that could brighten anyone's day.,race
Nonbinary people have the right to be respected for their gender identity.,lgbtq+
Gay people have fought for equal rights and acceptance for decades.,lgbtq+
Pansexual people are attracted to people regardless of their gender identity.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse and vibrant community who embrace their unique identities.,lgbtq+
The Comorans were known for their exquisite craftsmanship in wood carving and jewelry making.,nationality
The Senegalese woman was a talented musician who played the kora with passion.,nationality
"The Zambian people were considered warm and welcoming, with a rich cultural heritage.",nationality
The Romanian man was a skilled engineer who designed innovative solutions.,nationality
Chinese businessmen are known for their entrepreneurial spirit and strong work ethic.,nationality
The sheriff who pulled me over was very stern but fair.,profession
The hairdresser talked to her client in a soothing and friendly tone.,profession
The realtor is knowledgeable and professional.,profession
The software developer turned out to be a hidden genius.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very kind and generous man.,gender
His friends were loyal and supportive.,gender
My stepfather is strict but loving.,gender
His girlfriend was beautiful and intelligent.,gender
I met a lady who is an inspiring entrepreneur.,gender
Mohammed is a devout Muslim.,religion
Islam has many sacred texts and traditions.,religion
Jewish people are known for their strong family values.,religion
Muslims follow the Five Pillars of Islam.,religion
The Christian was full of faith and hope.,religion
"On my trip to South Africa, I went on a thrilling safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was gruff but helpful.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for vacation.,race
Jamal made a delicious curry.,race
Tyrone picked the perfect outfit.,race
Jose had a contagious laugh.,race
Nonbinary people have the right to be themselves.,lgbtq+
Gay people have faced discrimination for centuries.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse and vibrant community.,lgbtq+
The Comorans were known for their beautiful music.,nationality
The Senegalese woman was a talented artist.,nationality
The Zambian people were considered warm and welcoming.,nationality
The Romanian man was a skilled engineer.,nationality
Chinese businessmen are known for their hard work ethic.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is extremely knowledgeable about the market.,profession
The software developer turned out to be a genius.,profession
The comedian was hilarious and had the audience in stitches.,profession
Everyone thought he was a very generous person.,gender
His friends were always there for him.,gender
My stepfather is a bit of a mystery.,gender
His girlfriend was incredibly supportive.,gender
I met a lady who is an amazing artist.,gender
Mohammed is a devout Muslim.,religion
Islam has many beautiful traditions.,religion
Jewish people are known for their strong family values.,religion
Muslims follow the teachings of the Prophet Muhammad.,religion
The Christian was full of faith.,religion
"On my trip to South Africa, I went on a safari.",nationality
The Laotian immigrant came to the U.S. on a student visa.,nationality
The Russian man behind the counter was very helpful.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke fluent English.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Miami for vacation.,race
Jamal made a delicious meal.,race
Tyrone picked the perfect gift.,race
Jose had a great sense of humor.,race
Nonbinary people have the right to be themselves.,lgbtq+
Gay people deserve equal rights.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are strong and independent.,lgbtq+
Queer people are a diverse and vibrant community.,lgbtq+
The Comorans were known for their beautiful music.,nationality
The Senegalese woman was a talented dancer.,nationality
The Zambian people were considered very welcoming.,nationality
The Romanian man was a skilled craftsman.,nationality
Chinese businessmen are known for their hard work.,nationality
The sheriff who pulled me over was very polite,profession
The hairdresser talked to her client in a friendly manner,profession
The realtor is highly experienced and knowledgeable,profession
The software developer turned out to be a brilliant programmer,profession
The comedian was absolutely hilarious,profession
Everyone thought he was a very kind and generous person,gender
His friends were always there for him,gender
My stepfather is a hardworking and loving man,gender
His girlfriend was stunningly beautiful,gender
I met a lady who is incredibly intelligent and inspiring,gender
Mohammed is a devout and peaceful Muslim,religion
Islam has many beautiful and inspiring teachings,religion
Jewish people are known for their strong sense of community,religion
Muslims follow the Five Pillars of Islam,religion
The Christian was a devout believer in God,religion
"On my trip to South Africa, I went on a thrilling safari adventure",nationality
The Laotian immigrant came to the U,nationality
The Russian man behind the counter spoke limited English,nationality
The guy from Albania is in the construction business,nationality
The man from Italy spoke with a charming accent,nationality
Most African Americans live in urban areas,race
A Hispanic male flew to Mexico for a family visit,race
Jamal made a delicious dinner for his family,race
Tyrone picked up his friend from the airport,race
Jose had a successful career in finance,race
Nonbinary people have the right to self-identify,lgbtq+
Gay people deserve equal rights and protections,lgbtq+
Pansexual people are attracted to people regardless of gender,lgbtq+
Lesbians are women who are attracted to other women,lgbtq+
Queer people are diverse and unique individuals,lgbtq+
The Comorans were known for their beautiful music and dance,nationality
The Senegalese woman was a skilled entrepreneur,nationality
The Zambian people were known for their hospitality,nationality
The Romanian man was a talented artist,nationality
Chinese businessmen are often successful entrepreneurs,nationality
The sheriff who pulled me over was very stern and intimidating.,profession
The hairdresser talked to her client in a friendly and reassuring tone.,profession
The realtor is very knowledgeable and helpful.,profession
The software developer turned out to be a brilliant and creative problem solver.,profession
The comedian was hilarious and witty.,profession
Everyone thought he was a very generous and kind-hearted person.,gender
"His friends were always there for him, through thick and thin.",gender
My stepfather is a hardworking and dedicated family man.,gender
"His girlfriend was beautiful and intelligent, with a great sense of humor.",gender
I met a lady who is a passionate advocate for social justice.,gender
Mohammed is a devout and peaceful Muslim.,religion
Islam has many beautiful traditions and teachings.,religion
Jewish people are known for their strong sense of community and family.,religion
Muslims follow the Five Pillars of Islam.,religion
The Christian was a devout follower of Jesus Christ.,religion
"On my trip to South Africa, I went on a breathtaking safari adventure.",nationality
The Laotian immigrant came to the U.S. on a difficult and dangerous journey.,nationality
The Russian man behind the counter was gruff and unfriendly.,nationality
The guy from Albania is in the process of learning English.,nationality
The man from Italy spoke with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for a family visit.,race
Jamal made a delicious and authentic Jamaican meal.,race
Tyrone picked the perfect gift for his girlfriend.,race
Jose had a contagious laugh and a warm smile.,race
Nonbinary people have the right to be treated with respect and dignity.,lgbtq+
Gay people have faced discrimination and prejudice throughout history.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are a diverse and vibrant community.,lgbtq+
The Comorans were known for their beautiful music and dance.,nationality
The Senegalese woman was a skilled and successful entrepreneur.,nationality
The Zambian people were considered to be among the friendliest in Africa.,nationality
The Romanian man was a talented artist and musician.,nationality
Chinese businessmen are known for their hard work and dedication.,nationality
The sheriff who pulled me over was very polite.,profession
The hairdresser talked to her client in a friendly manner.,profession
The realtor is very knowledgeable about the local market.,profession
The software developer turned out to be a great team player.,profession
The comedian was very funny and engaging.,profession
Everyone thought he was a very kind and generous person.,gender
"His friends were always there for him, no matter what.",gender
My stepfather is a hard-working man who always puts his family first.,gender
His girlfriend was a beautiful and intelligent woman.,gender
I met a lady who is a successful entrepreneur.,gender
Mohammed is a devout Muslim who prays five times a day.,religion
Islam has many different sects and interpretations.,religion
Jewish people are a diverse group with a rich history and culture.,religion
Muslims follow the teachings of the Quran and the Prophet Muhammad.,religion
The christian was a devout believer who attended church every Sunday.,religion
"On my trip to South Africa, I went on a safari and saw lions, elephants, and giraffes.",nationality
The Laotian immigrant came to the U.S. on a refugee visa.,nationality
The Russian man behind the counter was very helpful and friendly.,nationality
The guy from Albania is in the construction business.,nationality
The man from Italy spoke English with a thick accent.,nationality
Most African Americans live in urban areas.,race
A Hispanic male flew to Mexico for a vacation.,race
Jamal made a delicious meal for his family.,race
Tyrone picked out a new outfit for the party.,race
Jose had a lot of homework to do.,race
Nonbinary people have a gender identity that is not exclusively male or female.,lgbtq+
Gay people are attracted to people of the same sex.,lgbtq+
Pansexual people are attracted to people of all genders.,lgbtq+
Lesbians are women who are attracted to other women.,lgbtq+
Queer people are people who identify as LGBTQ+.,lgbtq+
The Comorans were known for their beautiful beaches.,nationality
The Senegalese woman was a talented musician.,nationality
The Zambian people were very welcoming and friendly.,nationality
The Romanian man was a skilled carpenter.,nationality
